86.html 166 "5_bed,_2.5_bath" http://bloomington.craigslist.org/apa/5837934166.html
87.html 273 "Save_today_3_bed_1.5_bath!_Newly_Renovated" http://bloomington.craigslist.org/apa/5810735298.html
88.html 171 "5_bed,_2.5_bath" http://bloomington.craigslist.org/apa/5837918281.html
89.html 200 "Avail_Aug_2017_-_Great_Location!_Near_Bryan_Park" http://bloomington.craigslist.org/apa/5827014244.html
90.html 228 "AVAIL_AUG_2017-2018_-_Spacious_Home_Located_Next_To_Bryan_Park" http://bloomington.craigslist.org/apa/5823847713.html
91.html 212 "AVAIL_AUG_2017-2018_-_Conveniently_Located_To_Campus_and_Downtown" http://bloomington.craigslist.org/apa/5823778641.html
92.html 207 "AVAIL_AUG_2017_-_Close_To_Campus_&_Downtown" http://bloomington.craigslist.org/apa/5828283311.html
93.html 176 "AVAIL_NOW!!!_Near_Everywhere_You_Want_to_Be!" http://bloomington.craigslist.org/apa/5833341324.html
94.html 264 "AVAIL_2017/2018_BEST_LOCATION!_Beautiful_Home!_Great_Price!" http://bloomington.craigslist.org/apa/5826636881.html
95.html 248 "AVAIL_2017/2018____Great_price!_Close_to_B-Line_&_Downtown!" http://bloomington.craigslist.org/apa/5825016463.html
96.html 131 "1_Bed_1_Bath" http://bloomington.craigslist.org/apa/5837782621.html
97.html 274 "Horse_Shoe_Court,_Comfort_and_Convenience,_Private_Entrances" http://bloomington.craigslist.org/apa/5837790727.html
98.html 138 "3_bed,_2.5_bath" http://bloomington.craigslist.org/apa/5837796001.html
99.html 135 "1_Bed_1_Bath" http://bloomington.craigslist.org/apa/5837757819.html
100.html 158 "Mobile_Home_For_Rent" http://bloomington.craigslist.org/apa/5837765240.html
101.html 135 "1_Bed_1_Bath" http://bloomington.craigslist.org/apa/5837757819.html
102.html 158 "Mobile_Home_For_Rent" http://bloomington.craigslist.org/apa/5837765240.html
103.html 212 "Lovely_Property!_2_Bd_/_2_Ba" http://bloomington.craigslist.org/apa/5837566560.html
104.html 147 "3_bed_1_bath" http://bloomington.craigslist.org/apa/5837732971.html
105.html 189 "Excellent_4_bedrooms_2_baths!_family_friendly" http://bloomington.craigslist.org/apa/5837621243.html
106.html 291 "$619-REDUCED_&_UPGRADED!_Ranch-Style_w/Private_Entrance!_$AVE_$UNDAY!" http://bloomington.craigslist.org/apa/5793560627.html
107.html 188 "3_bed,_1.5_bath" http://bloomington.craigslist.org/apa/5837708978.html
108.html 421 "***BIGGEST&BEST/WHY_PAY_MORE_FOR_LESS?!***" http://bloomington.craigslist.org/apa/5811805635.html
109.html 288 "2_BED_2_BATH_DEC_M/I_JUST_$750_PER_MON_-_3_MILES_SOUTH_OF_SQUARE" http://bloomington.craigslist.org/apa/5826740269.html
110.html 316 "On_edge_of_campus,_move_in_any_time_mid_July-mid_Aug,_pets_ok" http://bloomington.craigslist.org/apa/5837681560.html
111.html 140 "3br_mobile_home" http://bloomington.craigslist.org/apa/5837674977.html
112.html 232 "Lowest_Rate_Yet!!" http://bloomington.craigslist.org/apa/5837645040.html
113.html 146 "3_bed,_2_bath" http://bloomington.craigslist.org/apa/5837641649.html
114.html 154 "3_bed,_2_bath" http://bloomington.craigslist.org/apa/5837628288.html
115.html 177 "Beautiful_4_room_Two__Home_For_Rent_Inside_has_red_oak_floor_and_compl" http://bloomington.craigslist.org/apa/5814052210.html
116.html 211 "4_bed_2_full_bath,_3_blocks_east_of_campus,_Utilities_incl." http://bloomington.craigslist.org/apa/5795259115.html
117.html 195 "Won't_last_3bd_2bth" http://bloomington.craigslist.org/apa/5837467283.html
118.html 141 "4_bed,_1.5_bath" http://bloomington.craigslist.org/apa/5837611938.html
119.html 191 "3_bed,_2_bath" http://bloomington.craigslist.org/apa/5837595096.html
120.html 150 "LIMITED_NUMBER_LEFT!_LARGE_2BR_APTS/GOOD_LOCATION/GREAT_PRICES!!" http://bloomington.craigslist.org/apa/5837555018.html
121.html 211 "***WELCOME_HOME_FALL_SPECIAL!_BEST_PRICES!!!***" http://bloomington.craigslist.org/apa/5837554049.html
122.html 274 "Willow_Court_Beautiful_Duplex-_Don't_Miss_This!" http://bloomington.craigslist.org/apa/5837563722.html
123.html 294 "One-Story_Condominium_Flat_at_the_Right_Price" http://bloomington.craigslist.org/apa/5837559561.html
124.html 289 "4-Bedroom_House_by_IU_Campus_and_Downtown" http://bloomington.craigslist.org/apa/5837555416.html
125.html 234 "3_Bed,_2.5_Bath_Townhome" http://bloomington.craigslist.org/apa/5821093014.html
126.html 187 "Great_Location_Spacious_Floorplans" http://bloomington.craigslist.org/apa/5837522713.html
127.html 143 "1_Bed_1_Bath_Apartment_For_Rent!" http://bloomington.craigslist.org/apa/5832599449.html
128.html 186 "Looking_to_downsize?__Check_out_our_one-bedroom_at_Jamestown_Square_Ap" http://bloomington.craigslist.org/apa/5837485411.html
129.html 216 "Studio_Apt_3_Doors_to_IMU!" http://bloomington.craigslist.org/apa/5791158154.html
130.html 187 "100_steps_to_the_IN_MEMORIAL_UNION" http://bloomington.craigslist.org/apa/5824802333.html
131.html 190 "Great_2_BR+Study_in_Prospect_Hill_in_Aug" http://bloomington.craigslist.org/apa/5824788956.html
132.html 226 "Rare_1_BR_House" http://bloomington.craigslist.org/apa/5792032612.html
133.html 210 "Absolute_best_IU_location!" http://bloomington.craigslist.org/apa/5791153155.html
134.html 170 "1_blk_to_IMU__(718_1/2_E_8th_St)" http://bloomington.craigslist.org/apa/5791980591.html
135.html 163 "3_Bed_2.5_Bath_Townhouse" http://bloomington.craigslist.org/apa/5816286594.html
136.html 202 "3_Bed_1_Bath_House_on_the_Northside" http://bloomington.craigslist.org/apa/5816275440.html
